,Start,Target,Distance
291,Algiers,Hobart,16920
292,Algiers,Hong Kong,10260
293,Algiers,Iquique,9934
294,Algiers,Irkutsk,7525
295,Algiers,Jakarta,11651
296,Algiers,Johannesburg,7483
297,Algiers,Kingston,7934
298,Algiers,Kinshasa,4748
299,Algiers,Kuala Lumpur,10569
300,Algiers,La Paz,9526
301,Algiers,Leeds,1912
302,Algiers,Lima,9938
303,Algiers,Lisbon,1087
304,Algiers,Liverpool,1901
305,Algiers,London,1652
306,Algiers,Lyons,1003
307,Algiers,Madrid,706
308,Algiers,Manchester,1897
309,Algiers,Manila,11369
310,Algiers,Marseilles,749
311,Algiers,Mazatln,10061
312,Algiers,Mecca,3923
313,Algiers,Melbourne,16673
314,Algiers,Mexico City,9746
315,Algiers,Milan,1087
316,Algiers,Montevideo,10047
317,Algiers,Moscow,3332
318,Algiers,Munich,1438
319,Algiers,Nagasaki,10515
320,Algiers,Nagoya,10705
321,Algiers,Nairobi,5506
322,Algiers,Nanjing (Nanking),9867
323,Algiers,Naples,1070
324,Algiers,New Delhi,6831
325,Algiers,Newcastle-on-Tyne,2046
326,Algiers,Odessa,2528
327,Algiers,Osaka,10681
328,Algiers,Oslo,2628
329,Algiers,Panama City,8749
330,Algiers,Paramaribo,6824
331,Algiers,Paris,1331
332,Algiers,Perth,13958
333,Algiers,Plymouth,1612
334,Algiers,Port Moresby,15295
335,Algiers,Prague,1734
336,Algiers,Rangoon,9154
337,Algiers,Reykjavk,3456
338,Algiers,Rio de Janeiro,8223
339,Algiers,Rome,987
340,Algiers,Salvador,7030
341,Algiers,Santiago,10926
342,Algiers,St. Petersburg,3217
343,Algiers,So Paulo,8481
344,Algiers,Shanghai,10110
345,Algiers,Singapore,10893
346,Algiers,Sofia,1849
347,Algiers,Stockholm,2720
348,Algiers,Sydney,17111
349,Algiers,Tananarive,7754
350,Algiers,Teheran,4322
351,Algiers,Tokyo,10800
352,Algiers,Tripoli,1024
353,Algiers,Venice,1233
354,Algiers,Veracruz,9520
355,Algiers,Vienna,1668
356,Algiers,Vladivostok,9735
357,Algiers,Warsaw,2216
358,Algiers,Wellington,19150
359,Algiers,Zrich,1254
360,Amsterdam,Aberdeen,696
361,Amsterdam,Adelaide,15908
362,Amsterdam,Algiers,1733
363,Amsterdam,Amsterdam,0
364,Amsterdam,Ankara,2540
365,Amsterdam,Asuncin,10538
366,Amsterdam,Athens,2165
367,Amsterdam,Auckland,18118
368,Amsterdam,Bangkok,9175
369,Amsterdam,Barcelona,1238
370,Amsterdam,Beijing,7822
371,Amsterdam,Belm,7770
372,Amsterdam,Belfast,757
373,Amsterdam,Belgrade,1416
374,Amsterdam,Berlin,578
375,Amsterdam,Birmingham,461
376,Amsterdam,Bogot,8871
377,Amsterdam,Bombay,6854
378,Amsterdam,Bordeaux,926
379,Amsterdam,Bremen,276
380,Amsterdam,Brisbane,16201
381,Amsterdam,Bristol,521
382,Amsterdam,Brussels,170
383,Amsterdam,Bucharest,1790
384,Amsterdam,Budapest,1148
385,Amsterdam,Buenos Aires,11441
386,Amsterdam,Cairo,3290
387,Amsterdam,Calcutta,7609
388,Amsterdam,Canton,9151
389,Amsterdam,Cape Town,9683
390,Amsterdam,Caracas,7863
391,Amsterdam,Cayenne,7411
392,Amsterdam,Chihuahua,8805
393,Amsterdam,Chongqing,8160
394,Amsterdam,Copenhagen,621
395,Amsterdam,Crdoba,11467
396,Amsterdam,Dakar,4634
397,Amsterdam,Darwin,13499
398,Amsterdam,Djibouti,5679
399,Amsterdam,Dublin,754
400,Amsterdam,Durban,9489
401,Amsterdam,Edinburgh,655
402,Amsterdam,Frankfurt,364
403,Amsterdam,Georgetown,7612
404,Amsterdam,Glasgow,708
405,Amsterdam,Guatemala City,9085
406,Amsterdam,Guayaquil,9847
407,Amsterdam,Hamburg,369
408,Amsterdam,Hammerfest,2239
409,Amsterdam,Havana,7811
410,Amsterdam,Helsinki,1505
411,Amsterdam,Hobart,17047
412,Amsterdam,Hong Kong,9278
413,Amsterdam,Iquique,10803
414,Amsterdam,Irkutsk,6164
415,Amsterdam,Jakarta,11367
416,Amsterdam,Johannesburg,9022
417,Amsterdam,Kingston,7876
418,Amsterdam,Kinshasa,6377
419,Amsterdam,Kuala Lumpur,10192
420,Amsterdam,La Paz,10361
421,Amsterdam,Leeds,453
422,Amsterdam,Lima,10522
423,Amsterdam,Lisbon,1861
424,Amsterdam,Liverpool,541
425,Amsterdam,London,352
426,Amsterdam,Lyons,735
427,Amsterdam,Madrid,1478
428,Amsterdam,Manchester,494
429,Amsterdam,Manila,10391
430,Amsterdam,Marseilles,1005
431,Amsterdam,Mazatln,9317
432,Amsterdam,Mecca,4544
433,Amsterdam,Melbourne,16545
434,Amsterdam,Mexico City,9214
435,Amsterdam,Milan,829
436,Amsterdam,Montevideo,11358
437,Amsterdam,Moscow,2147
438,Amsterdam,Munich,669
439,Amsterdam,Nagasaki,9150
440,Amsterdam,Nagoya,9234
441,Amsterdam,Nairobi,6687
442,Amsterdam,Nanjing (Nanking),8661
443,Amsterdam,Naples,1465
444,Amsterdam,New Delhi,6359
445,Amsterdam,Newcastle-on-Tyne,516
446,Amsterdam,Odessa,1974
447,Amsterdam,Osaka,9231
448,Amsterdam,Oslo,916
449,Amsterdam,Panama City,8840
450,Amsterdam,Paramaribo,7511
451,Amsterdam,Paris,435
452,Amsterdam,Perth,14144
453,Amsterdam,Plymouth,658
454,Amsterdam,Port Moresby,14154
455,Amsterdam,Prague,711
456,Amsterdam,Rangoon,8607
457,Amsterdam,Reykjavk,2014
458,Amsterdam,Rio de Janeiro,9581
459,Amsterdam,Rome,1295
460,Amsterdam,Salvador,8360
461,Amsterdam,Santiago,12017
462,Amsterdam,St. Petersburg,1769
463,Amsterdam,So Paulo,9795
464,Amsterdam,Shanghai,8880
465,Amsterdam,Singapore,10510
466,Amsterdam,Sofia,1747
467,Amsterdam,Stockholm,1122
468,Amsterdam,Sydney,16642
469,Amsterdam,Tananarive,8923
470,Amsterdam,Teheran,4083
471,Amsterdam,Tokyo,9293
472,Amsterdam,Tripoli,2260
473,Amsterdam,Venice,942
474,Amsterdam,Veracruz,9051
475,Amsterdam,Vienna,932
476,Amsterdam,Vladivostok,8245
477,Amsterdam,Warsaw,1093
478,Amsterdam,Wellington,18565
479,Amsterdam,Zrich,615
480,Ankara,Aberdeen,3158
481,Ankara,Adelaide,13621
482,Ankara,Algiers,2617
483,Ankara,Amsterdam,2540
484,Ankara,Ankara,0
485,Ankara,Asuncin,11820
486,Ankara,Athens,824
487,Ankara,Auckland,16696
488,Ankara,Bangkok,7128
489,Ankara,Barcelona,2587
490,Ankara,Beijing,6829
491,Ankara,Belm,9380
492,Ankara,Belfast,3297
493,Ankara,Belgrade,1154
494,Ankara,Berlin,2039
495,Ankara,Birmingham,2981
496,Ankara,Bogot,11127
497,Ankara,Bombay,4454
498,Ankara,Bordeaux,2779
499,Ankara,Bremen,2335
500,Ankara,Brisbane,14420
501,Ankara,Bristol,3003
502,Ankara,Brussels,2517
503,Ankara,Bucharest,750
504,Ankara,Budapest,1392
505,Ankara,Buenos Aires,12479
506,Ankara,Cairo,1108
507,Ankara,Calcutta,5519
508,Ankara,Canton,7590
509,Ankara,Cape Town,8344
510,Ankara,Caracas,10095
511,Ankara,Cayenne,9256
512,Ankara,Chihuahua,11295
513,Ankara,Chongqing,6627
514,Ankara,Copenhagen,2301
515,Ankara,Crdoba,12738
516,Ankara,Dakar,5619
517,Ankara,Darwin,11564
518,Ankara,Djibouti,3313
519,Ankara,Dublin,3287
520,Ankara,Durban,7764
521,Ankara,Edinburgh,3169
522,Ankara,Frankfurt,2202
